Date,open,high,low,close,volume,unknown
2020-08-26,452,464.8,449,463.35,25914927,0
2020-08-25,450.95,456.4,447.1,451.8,26273650,0
2020-08-24,444,449.45,442.3,445.8,18197925,0
2020-08-21,440,444.85,436.25,440.45,25088216,0
2020-08-20,437.9,441.3,433.25,434.95,16689591,0
2020-08-19,446,451.95,442.45,444.2,18133177,0
2020-08-18,439.5,447.25,435.3,445.8,21768573,0
2020-08-17,439.1,441,425.35,438.15,30198451,0
2020-08-14,451.5,451.5,425.6,435.85,36726464,0
2020-08-13,454.1,456.75,445.35,448.1,21885898,0
2020-08-12,444.8,452.75,438.95,451.1,23184443,0
2020-08-11,435.3,449.9,435.3,448,30469680,0
2020-08-10,434,437,429.3,431.1,14888275,0
2020-08-07,431.45,437,427.15,433.3,15570556,0
2020-08-06,436,438.3,427.1,433,33465332,0
2020-08-05,439,446.85,433.15,434.95,36936666,0
2020-08-04,421.85,431.2,417.35,429.15,24748403,0
2020-08-03,431.6,431.9,415.7,417.35,23824147,0
2020-07-31,429,434.45,421.3,431.65,27499643,0
2020-07-30,441.9,445.9,424.75,425.85,26862223,0
2020-07-29,435.75,447,434.3,440.9,24404909,0
2020-07-28,434,440,424.4,437.05,33057789,0
2020-07-27,447,448,429.9,431.55,21924614,0
2020-07-24,456.6,456.6,441.55,445.6,30567381,0
2020-07-23,472.95,474.75,459.2,460.85,40250274,0
2020-07-22,478,484.6,460.1,478.95,89612153,0
2020-07-21,440,451,438.5,446.2,43147781,0
2020-07-20,437.7,442.8,429.3,434,30400830,0
2020-07-17,434,439.9,424.6,433.1,33465094,0
2020-07-16,431.95,436.15,418.45,434,30183798,0
2020-07-15,424,444.45,422.75,426.65,43250557,0
2020-07-14,434.9,435.8,415.4,417.7,25686686,0
2020-07-13,443.95,446.4,432.75,440.05,21326996,0
2020-07-10,449.9,451.45,437,439.6,25676461,0
2020-07-09,447.85,457,446.05,453.75,29162682,0
2020-07-08,450,461.4,441,444.15,45878605,0
2020-07-07,433.5,449,426.2,447.35,37991906,0
2020-07-06,434.15,437.6,431.1,434,18425359,0
2020-07-03,430,431.6,423.65,428.45,31044470,0
